QuestionText,Answer,TopicId,QuestionId,Difficulty,Type
Rikkoutuuko kovalenttisia sidoksia sokerin liuetessa veteen?,"Ei. Sokerin liuetessa veteen irtoavat sokerimolekyylit toisistaan, sillä vesimolekyylit vuorovaikuttavat voimakkaammin sokerimolekyylien kanssa kuin sokerimolekyylit keskenään.",9,128,1,flashcard
Mikä on dispersiovoima?,Elektronit vipeltävät elektronissa synnyttäen hetkittäisiä dipoleja. Nämä vuorovaikutukset vetävät molekyylejä puoleensa.,9,129,1,flashcard
Mikä on ioni-dipolisidos? ,Ionisidoksessa varautunut ioni vetää puoleensa molekyylin erivarauksisista puolta,9,130,1,flashcard
Mikä on dipoli-dipolisidos?,Dipoli-dipolisidoksessa yhden molekyylinen negatiivinen varautunut pää vetää puoleensa toisen molekyylin positiivista päätä,9,131,1,flashcard
Mikä on dipoli?,Dipolissa positiiviset ja negatiiviset varauksen muodostama pari,9,132,1,flashcard
Mikä on vetysidos?,Vetysidos on dipoli-dipolisidoksen erityistapaus. Se koostuu vetysidosluovuttajasta (esimerkiksi OH) ja vastaanottajasta  (esim O),9,133,1,flashcard
Mitä vuorovaikutuksia on ruokasuolan (NaCl) ja veden (H2O) liuoksessa?,Vesimolekyylien välillä on vetysidoksia. Ionien ja vesimolekyylien välillä on ioni-dipolisidoksia.,9,134,1,flashcard
Mistä veden korkea kiehumispiste johtuu?,Vesimolekyylien välisistä vahvoista vetysidoksista,9,135,1,flashcard
Mistä veden suuri pintajännitys johtuu?,Vesimolekyylien välisistä vahvoista vetysidoksista,9,136,1,flashcard
Mitä vuorovaikutuksia on jalokaasuatomeilla?,Jalokaasuatomien välillä on ainoastaan dispersovuorovaikutuksia,9,137,1,flashcard
Mitä vuorovaikutuksia on poolittomilla atomeilla?,Poolittomien molekyylien välillä on ainoastaan dispersiovuorovaikutuksia,9,138,1,flashcard
Mitä on amorfinen aine?,"Aineen kiinteä olomuoto, jossa osasilla ei ole säännöllistä rakennetta. Esimerkiksi lasi tai erilaiset villasukan selluloosakuidut.",10,139,1,flashcard
Mitä on kiteinen aine?,"Aineen kiinteä olomuoto, jossa osasilla on tarkka kolmiulotteinen eli hilarakenne. Esimerkiksi timantti, suolat, metallit.",10,140,1,flashcard
Mitä olomuotoja aineella on?,"Kiinteä, neste, kaasu",10,141,1,flashcard
Miten kiinteä aine pysyy kasassa?,"Metallisidoksilla, ionisidoksilla, tai heikoilla vuorovaikutuksilla.",10,142,1,flashcard
Mitä sulamisessa tapahtuu?,"Sulaessa aine muuttuu kiinteästä nesteeksi. Aineen saavuttaessa sulamislämpötilan, sen osasten liike-energia ylittää niitä paikallaanpitävien vuorovaikutusten energian, ja osaset pystyvät alkaa liikkua vapaasti",10,143,1,flashcard
Mitä kiehumisessa tapahtuu,"Kiehuessa aine muuttuu nestemäisestä höyryksi. Aineen saavuttaessa kiehumispisteensä, sen osasten liike-energia ylittää niitä toisiaan pitävät voimat, ja osaset poistuvat nesteestä muodostaen kaasua",10,144,1,flashcard
Mikä on liuos?,Liuos koostuu liuottimesta ja lienneesta aineesta,11,145,1,flashcard
Minkälainen liuotin vesi on?,Vesi on poolinen liuotin. Tämä johtuu vedyn ja hapen suuresta elektronegatiivisuuserosta,11,146,1,flashcard
Minkälaiset aineet liukenevat veteen?,"Pooliset aineet liukenevat veteen, sillä niille muodostuu dipoli-dipoli-vuorovaikutuksia",11,147,1,flashcard
Minkälaiset aineet liukenevat minkälaiseen liuottimeen?,"Pooliset liukenevat poolisiin, poolittomat liukenevat poolittomiin liuottimiin",11,148,1,flashcard
Mikä on faasi?,"Faasi on alue, jolla on on omat ominaisuutensa. Kahta faasia erottaa rajapinta.",11,149,1,flashcard
Mitä tapahtuu kun pooliton aine liuotetaan pooliseen liuottimeen? ,Aine ei liukene vaan muodostaa oman faasinsa.,11,150,1,flashcard
Miksi ruokaöljy ei liukene veteen?,Ruokaöljy koostuu poolittomista rasvahapoista. Vesi on poolinen liuotin.,11,151,1,flashcard
Mitä vuorovaikutuksia on liuenneen aineen ja liuottimen välillä?,Heikkoja vuorovaikutuksia,11,152,1,flashcard
Mihin rasvat liukenevat?,Rasvat liukenevat poolittomiin liuottimiin,11,153,1,flashcard
Mikä on puhdas aine?,Puhdas aine sisältää vain yhtä alkuainetta tai yhtä yhdistettä,12,154,1,flashcard
Mikä on seos?,Seos sisältää useampaa kuin yhtä alkuainetta tai yhdistettä,12,155,1,flashcard
Mikä on homogeeninen seos?,Homogeenisessa seoksessa aineet ovat samassa faasissa eikä niitä voi erottaa toisistaan,12,156,1,flashcard
Mikä on heterogeeninen seos?,Heterogeenisessä seoksessa seoksen eri yhdisteiden väillä on rajapinta,12,157,1,flashcard
Mitä suodattamisessa tehdään?, Erotellaan kiinteä aine nesteestä mekaanisesti suodattimella,13,158,1,flashcard
Miten kiinteä aine erotellaan nesteestä?,Suodattamalla,13,159,1,flashcard
"Miten erottaa nesteitä, joilla on eri kiehumispiste?",Tislaamalla,13,160,1,flashcard
Miten tislaus toimii?,"Tislauksessa nesteseosta kuumennetaan, kunnes toinen neste alkaa haihtua. Eri lämpötiloissa haihtuvat nesteet otetaan talteen.",13,161,1,flashcard
Miten uutto toimii?,Uutossa eristettävä aine erotetaan seoksesta käyttämällä liuotinta,13,162,1,flashcard
Miksi erotusmenetelmäksi kahvinkeittoa voitaisiin kutsua?,Uuttamiseksi. Kofeiini ja muut yhdisteet uutetaan vedellä kahvimukiin,13,163,1,flashcard
Miten liuenneen kiinteän aineen saa takaisin liuoksesta?,Haihduttamalla liuotin pois,13,164,1,flashcard
